
2024/12/06 (14:53:11) | ===> btop++ v.1.4.0
2024/12/06 (14:53:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (21:43:34) | ===> btop++ v.1.4.0
2024/12/12 (21:43:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (21:48:55) | ===> btop++ v.1.4.0
2024/12/12 (21:48:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (21:49:09) | ===> btop++ v.1.4.0
2024/12/12 (21:49:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (15:51:35) | ===> btop++ v.1.4.0
2024/12/18 (15:51:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (13:19:53) | ===> btop++ v.1.4.0
2024/12/20 (13:19:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (18:36:45) | ===> btop++ v.1.4.0
2025/01/09 (18:36:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (15:40:32) | ===> btop++ v.1.4.0
2025/02/14 (15:40:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (15:40:37) | ===> btop++ v.1.4.0
2025/02/14 (15:40:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (11:57:21) | ===> btop++ v.1.4.0
2025/02/21 (11:57:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (10:14:20) | ===> btop++ v.1.4.0
2025/03/03 (10:14:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (12:44:19) | ===> btop++ v.1.4.0
2025/03/08 (12:44:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (12:45:02) | ===> btop++ v.1.4.0
2025/03/08 (12:45:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (18:15:07) | ===> btop++ v.1.4.0
2025/03/08 (18:15:07) | WARNING: Intel GPU: Failed to initialize PMU
